,x,y,vx,vy,E_total,E_kin,E_pot
84,-1.1907981877925133,-120.08403409738789,-2.854344853873307,-5.423064094370403,-66100.69526618425,1690.060892241713,-67790.75615842597
85,-1.8948066106490724,-121.31223540899802,-2.7753442018445615,-4.394997767033052,-66135.91113108805,1215.8343364921984,-67351.74546758024
86,-2.5772903268929697,-122.27819262126214,-2.682181528842594,-3.326861991765961,-66156.52217559847,821.7948809664617,-66978.31705656493
87,-3.23473031536242,-122.9731998167197,-2.5750064324212256,-2.2291460896608406,-66167.49141219657,521.9887687227407,-66689.48018091932
88,-3.863621189262505,-123.39118114671372,-2.4537447378113413,-1.1124525901655151,-66172.92548500141,326.6286301666266,-66499.55411516804
89,-4.460384609061573,-123.52877643899224,-2.3178405552153514,0.011948072410739918,-66175.84036472303,241.76374181259035,-66417.60410653561
90,-5.021227086955269,-123.38565556506715,-2.166181354129317,1.1308221690178355,-66178.30237231412,268.69951966138757,-66447.00189197552
91,-5.5420926675350835,-122.96518007607494,-1.9980041146674492,2.227841435827834,-66182.09761501731,402.98840574387674,-66585.08602076118
92,-6.018902691619902,-122.27508342503165,-1.8139694819180052,3.2847091319108364,-66189.50837274676,633.5909713164743,-66823.09934406323
93,-6.447914288275017,-121.32769167923026,-1.616010809548123,4.283278221357999,-66203.53870399503,943.1083466161255,-67146.64705061115
94,-6.8259661746148454,-120.13970506499612,-1.4067658379828245,5.206851230139094,-66227.59771113051,1309.063043507243,-67536.66075463776
95,-7.150603098492386,-118.73174469174502,-1.1891975783246584,6.040838340518848,-66264.94599689299,1705.7663431459084,-67970.7123400389
96,-7.420126594207539,-117.1277755315,-0.9663669281606829,6.773122897793721,-66318.11842829478,2106.4076472807146,-68424.5260755755
97,-7.633599062238394,-115.35446159336415,-0.7412780335296649,7.394247716222444,-66388.45351126403,2485.0976585334497,-68873.55116979749
98,-7.7908146198287245,-113.44049286943547,-0.5167640915915983,7.897458934063199,-66475.80876990469,2818.6606233707907,-69294.46939327547
99,-7.8922452089419295,-111.41591660482594,-0.2954025656114685,8.278631524495726,-66578.4966763742,3088.035116736492,-69666.53179311068
100,-7.938968717936908,-109.3114994223334,-0.07945558820201262,8.536101215212561,-66693.43447518944,3279.2101716082448,-69972.64464679768
101,-7.932585080128345,-107.1581404446293,0.12916703336167074,8.670428951706038,-66816.46829727302,3383.686004809037,-70200.15430208205
102,-7.875125686504486,-104.98634904120478,0.3289247551442661,8.684123541842007,-66942.81105282172,3398.498693303458,-70341.30974612519
103,-7.768960778764796,-102.82579469028488,0.5186460057916611,8.581345655134895,-67067.52575759206,3325.881911950178,-70393.40766954224
104,-7.61670875626805,-100.70493111027021,0.6975136668876363,8.367612522443421,-67185.98963208182,3172.655908856114,-70358.64554093794
105,-7.421150581883925,-98.65069253090154,0.8650392762730515,8.049518215139875,-67294.2863330938,2949.4366400413637,-70243.72297313515
106,-7.185151761380874,-96.68825681945792,1.0210286562461175,7.634479904121429,-67389.49029583554,2669.7502315489364,-70059.24052738448
