,x,y,vx,vy,E_total,E_kin,E_pot
72,29.563640942656484,-19.96607059438041,1.6287337333082712,-19.71639664119006,2.433889660085697,17612.50815390361,-17610.074264243525
73,29.97082437598355,-25.20141975467793,1.6287337333082712,-22.166396641190058,2.433889660082059,22230.08611328602,-22227.652223625937
74,30.378007809310617,-31.049268914975443,1.6287337333082712,-24.616396641190057,2.433889660082059,27387.889072668426,-27385.455183008344
75,30.783158429249777,-37.50824338048135,1.6008073439970307,-27.046784170928408,0.9135121986546437,33034.10031636202,-33033.186804163364
76,31.170699691490952,-44.56620571976091,1.4837686924921067,-29.401649765198837,0.9133698301811819,38999.636030170645,-38998.72266034046
77,31.517071602360577,-52.200230644901296,1.271262156624803,-31.650489856461956,0.9138167275305022,45151.63270311904,-45150.71888639151
78,31.798417033358287,-60.3802290957802,0.9626032875119159,-33.75785824494813,-8.589627464963996,51323.38192688136,-51331.971554346324
79,31.98837212539459,-69.05257553519027,0.5357609243101247,-35.552831387617594,-8.5880114319516,56893.08867499731,-56901.67668642926
80,32.056241176505296,-78.12103831988159,-0.011601057614377797,-36.921068446991974,-8.586644640847226,61342.44434334018,-61351.03098798102
81,31.973828724234576,-87.47496465431438,-0.6637520511680395,-37.83214671786316,-8.585711893101688,64427.03514303094,-64435.62085492404
82,31.71703799011812,-96.99710865473929,-1.4037313959643791,-38.26379541127044,-8.585256047852454,65973.98254984098,-65982.56780588883
83,31.26610969588388,-106.5656964078176,-2.213877540570616,-38.20207088049481,-8.585251704862458,65893.47629953465,-65902.06155123953
84,30.60574357634136,-116.05650765100876,-3.0762397836915167,-37.64132854722675,-8.585647132771555,64184.97897031652,-64193.5646174493
85,29.725129275956508,-125.34493241670408,-3.9728962466129745,-36.58405919891418,-8.586384925598395,60937.9781425204,-60946.564527446
86,28.617906454944965,-134.30797398795576,-4.886206722591382,-35.040627587952116,-8.5874110077566,56327.42690520516,-56336.01431621291
87,27.28206727810313,-142.82617635221322,-5.799024099627277,-33.02893180197857,-8.588677932493738,50604.25574195143,-50612.84441988391
88,25.71980945034295,-150.78545748248138,-6.694880693439485,-30.573991318427435,-8.590145593945635,44081.56676873992,-44090.15691433387
89,23.937344727510673,-158.07883108236936,-7.5581592908900905,-27.70746704186375,-8.59178086128668,37117.32757840954,-37125.91935927083
90,21.944666019960973,-164.6080000552383,-8.37425388623336,-24.467115420208938,-8.593556831590831,30094.553931161423,-30103.147487993003
91,19.755275389369793,-170.28480552357104,-9.129721906664196,-20.896179259962473,-8.595452015288174,23400.095839087946,-23408.691291103227
92,17.385875053293116,-175.03251602879266,-9.812427794279351,-17.042719121724662,-8.597449590422912,17403.210642597543,-17411.808092187945
